countrycode,year,rgdpe
GIN,2007,10363.62
GIN,2008,10982.46
GIN,2009,10510.96
GIN,2010,11092.59
GIN,2011,11481.4
GMB,1950,
GMB,1951,
GMB,1952,
GMB,1953,
GMB,1954,
GMB,1955,
GMB,1956,
GMB,1957,
GMB,1958,
GMB,1959,
GMB,1960,507.36
GMB,1961,469.33
GMB,1962,475.15
GMB,1963,491.68
GMB,1964,555.2
GMB,1965,613.47
GMB,1966,626.67
GMB,1967,634.9
GMB,1968,646.64
GMB,1969,649.11
GMB,1970,738.26
GMB,1971,736.44
GMB,1972,746.63
GMB,1973,780.59
GMB,1974,842.1
GMB,1975,892.05
GMB,1976,876.07
GMB,1977,888.56
GMB,1978,937.72
GMB,1979,907.53
GMB,1980,905.15
GMB,1981,1071.52
GMB,1982,1147.22
GMB,1983,1104.13
GMB,1984,1137.29
GMB,1985,1176.61
GMB,1986,1200.99
GMB,1987,1227.59
GMB,1988,1280.22
GMB,1989,1329.1
GMB,1990,1378.49
GMB,1991,1411.33
GMB,1992,1448.65
GMB,1993,1504.09
GMB,1994,1539.22
GMB,1995,1541.85
GMB,1996,1601.48
GMB,1997,1623.41
GMB,1998,1675.61
GMB,1999,1790.32
GMB,2000,1905.52
GMB,2001,1969.06
GMB,2002,1957.28
GMB,2003,1935.67
GMB,2004,2246.24
GMB,2005,2211.1
GMB,2006,2245.47
GMB,2007,2354.74
GMB,2008,2631.75
GMB,2009,2707.33
GMB,2010,2814.78
GMB,2011,2713.22
GNB,1950,
GNB,1951,
GNB,1952,
GNB,1953,
GNB,1954,
GNB,1955,
GNB,1956,
GNB,1957,
GNB,1958,
GNB,1959,
GNB,1960,690.84
GNB,1961,688.88
GNB,1962,689.17
GNB,1963,747.91
GNB,1964,765.3
GNB,1965,750.94
GNB,1966,681.35
GNB,1967,766.63
GNB,1968,787.11
GNB,1969,891.55
GNB,1970,1015.15
GNB,1971,960.11
GNB,1972,980.06
GNB,1973,976.17
GNB,1974,985.77
GNB,1975,1064.82
GNB,1976,1135.75
GNB,1977,1053.29
GNB,1978,1218.04
GNB,1979,1236.37
GNB,1980,1136.97
GNB,1981,979.42
GNB,1982,1020.38
GNB,1983,982.41
GNB,1984,1053.7
GNB,1985,888.02
GNB,1986,1075.4
GNB,1987,1135.98
GNB,1988,1226.04
GNB,1989,1260.85
GNB,1990,1321.7
GNB,1991,1375.39
GNB,1992,1254.55
GNB,1993,1352.75
GNB,1994,1487.16
GNB,1995,1483.8
GNB,1996,1510.1
GNB,1997,1680.34
GNB,1998,1204.32
GNB,1999,1312.38
GNB,2000,1450.58
GNB,2001,1566.25
GNB,2002,1450.32
GNB,2003,1629.27
GNB,2004,1638.86
GNB,2005,1652.45
GNB,2006,1647.51
GNB,2007,1738.76
GNB,2008,1760.32
GNB,2009,1950.39
GNB,2010,1891.1
GNB,2011,1986.9
GNQ,1950,
GNQ,1951,
GNQ,1952,
GNQ,1953,
GNQ,1954,
GNQ,1955,
GNQ,1956,
GNQ,1957,
GNQ,1958,
GNQ,1959,
