year,avh,BCG,ccon,cda,cgdpe,cgdpo,ck,cor_exp,csh_c,csh_g,csh_i,csh_m,csh_r,csh_x,ctfp,cwtfp,delta,DTP3,emp,expend,hc,HepB3,Hib3,i_cig,i_outlier,i_xm,i_xr,labsh,MCV,PAB,pl_c,pl_con,pl_da,pl_g,pl_gdpo,pl_i,pl_k,pl_m,pl_x,Pol3,pop,rconna,rdana,rgdpe,rgdpna,rgdpo,rkna,rtfpna,rwtfpna,sani,statcap,water,xr,country
967,NA,NA,6596.64501953125,8179.1953125,8289.5498046875,8409.7431640625,8577.2197265625,NA,0.592538833618164,0.19186620414257,0.188180595636368,-0.039891391992569,-0.0118478927761316,0.0791536122560501,NA,NA,0.0295199416577816,NA,NA,NA,1.32596564292908,NA,NA,Extrapolated,Regular,Extrapolated,Market,0.678181707859039,NA,NA,0.189844392270578,0.180884823203087,0.176542162895203,0.153215033018918,0.174019008874893,0.158440430194819,0.18689626455307,0.161346673965454,0.136629492044449,NA,4.71622136548429,2965.5966796875,3572.43994140625,8770.171875,5088.92822265625,8436.7080078125,59070.796875,NA,NA,NA,NA,NA,1.0,ZWE
968,NA,NA,6063.19091796875,8007.75244140625,7808.10107421875,7818.41796875,8583.1787109375,NA,0.555132746696472,0.220368251204491,0.248715460300446,-0.0308925732970238,-0.0156740918755531,0.0223502144217491,NA,NA,0.0295270662754774,NA,NA,NA,1.33714818954468,NA,NA,Extrapolated,Regular,Extrapolated,Market,0.678181707859039,NA,NA,0.217604653124845,0.200275927782059,0.191842719912529,0.156622896437448,0.191589564085007,0.165547753659544,0.193622946739197,0.163436532020569,0.141075491905212,NA,4.8827475783234,2686.09643554687,3434.24829101562,8237.875,4483.6748046875,7820.58251953125,58984.0703125,NA,NA,NA,NA,NA,1.0,ZWE
969,NA,NA,7615.19921875,9379.2021484375,9825.15234375,9843.4853515625,8654.455078125,NA,0.593684732913971,0.1799436211586,0.17920508980751,-0.00717445556074381,0.0422354154288769,0.0121055375784636,NA,NA,0.0295939669013023,NA,NA,NA,1.34842503070831,NA,NA,Extrapolated,Regular,Extrapolated,Market,0.678181707859039,NA,NA,0.205897347128536,0.196446135640144,0.191924631595612,0.165263947264509,0.191567182540894,0.172405234170976,0.201034992933273,0.170924931764603,0.151199206709862,NA,5.05361672794985,3431.642578125,4105.48193359375,10371.7666015625,6005.0439453125,9850.744140625,58730.11328125,NA,NA,NA,NA,NA,1.0,ZWE
970,NA,NA,9343.4365234375,11493.0537109375,11979.779296875,12007.9853515625,8695.998046875,NA,0.600551664829254,0.17755027115345,0.179015621542931,-0.00690775783732533,0.0183754228055477,0.0314147770404816,NA,NA,0.0298494249582291,NA,NA,NA,1.35979700088501,NA,NA,Extrapolated,Regular,Extrapolated,Market,0.678181707859039,NA,NA,0.176733989667544,0.169578820466995,0.168827012181282,0.145376960747423,0.168430462479591,0.165559251217355,0.194322541356087,0.17477160692215,0.157742723822594,NA,5.206311,4227.2216796875,5038.39306640625,12648.1796875,7353.0224609375,12017.03125,58787.72265625,NA,NA,NA,NA,NA,1.0,ZWE
971,NA,NA,10279.9677734375,12865.1591796875,13064.4306640625,13081.8583984375,8857.7783203125,NA,0.605400323867798,0.180418267846107,0.197616517543793,-0.00630806619301438,-1.56967944349162e-05,0.0228886753320694,NA,NA,0.030426099896431,NA,NA,NA,1.38181817531586,NA,NA,Extrapolated,Regular,Extrapolated,Market,0.681564569473267,NA,NA,0.188008295998382,0.179161891341209,0.179007887840271,0.149477417211355,0.178769409656525,0.178395506755646,0.205553710460663,0.189732983708382,0.171544656157494,NA,5.385342,4670.9990234375,5645.44921875,13805.3623046875,7998.51708984375,13108.486328125,59158.3984375,NA,NA,NA,NA,NA,1.0,ZWE
972,NA,NA,10992.3564453125,13764.9248046875,14632.6962890625,14646.330078125,9186.6455078125,NA,0.576077938079834,0.174441546201706,0.189301207661629,-0.00476939370855689,0.0436763092875481,0.0212723966687918,NA,NA,0.0297389477491379,NA,NA,NA,1.40419590473175,NA,NA,Extrapolated,Regular,Extrapolated,Market,0.672557353973389,NA,NA,0.207902138514591,0.197728872299194,0.197371602058411,0.164132560113384,0.197187870740891,0.195955115136696,0.246360391378403,0.217267081141472,0.193572700023651,NA,5.573312,5012.1123046875,6052.89453125,15491.1953125,8674.8828125,14703.453125,59631.03515625,NA,NA,NA,NA,NA,1.0,ZWE
973,NA,NA,11247.400390625,14498.69140625,15249.7314453125,15262.55859375,9366.41015625,NA,0.554691255092621,0.182236313819885,0.213024005293846,-0.00395505642518401,0.036837562918663,0.0171658750623465,NA,NA,0.0323078483343124,NA,NA,NA,1.42693603038788,NA,NA,Extrapolated,Regular,Extrapolated,Market,0.663169264793396,NA,NA,0.248253405934215,0.234902188181877,0.232939749956131,0.194263748920395,0.232743978500366,0.22615092179672,0.2714803814888,0.253013849258423,0.226580500602722,NA,5.768382,5159.453125,6387.51220703125,16218.02734375,8935.88671875,15383.1875,60557.51171875,NA,NA,NA,NA,NA,1.0,ZWE
974,NA,NA,11939.068359375,16517.390625,16905.939453125,16922.4921875,10062.7841796875,NA,0.520087063312531,0.185427725315094,0.270546585321426,-0.00475407624617219,0.00792732182890177,0.0207653883844614,NA,NA,0.0317133665084839,NA,NA,NA,1.45004451274872,NA,NA,Extrapolated,Regular,Extrapolated,Market,0.655622065067291,NA,NA,0.268566726721203,0.253776490688324,0.252837836742401,0.212292901786681,0.252590507268906,0.250389982485369,0.304046332836151,0.251420676708221,0.240698605775833,NA,5.967861,5458.80078125,7188.2919921875,17831.1796875,9160.4072265625,16894.771484375,61867.6328125,NA,NA,NA,NA,NA,1.0,ZWE
975,NA,NA,12204.9423828125,16301.1650390625,16540.4296875,16590.361328125,10413.5869140625,NA,0.530820667743683,0.204843983054161,0.246903762221336,-0.00454765884205699,-0.00847003050148487,0.0304493121802807,NA,NA,0.0323518998920918,NA,NA,NA,1.47352707386017,NA,NA,Extrapolated,Regular,Extrapolated,Market,0.6899374127388,NA,NA,0.300157861068894,0.281223803758621,0.283678501844406,0.232159164985116,0.282824695110321,0.290992481122939,0.350779980421066,0.257358431816101,0.251470267772675,NA,6.170284,5558.5439453125,7028.17529296875,17326.470703125,9244.6015625,16461.08203125,62881.71484375,NA,NA,NA,NA,NA,1.0,ZWE
976,NA,NA,12655.8427734375,15578.6259765625,16490.4296875,16490.125,10439.033203125,NA,0.536580204963684,0.230899855494499,0.177244454622269,-0.00206590117886662,0.042666133493185,0.0146751860156655,NA,NA,0.0337401814758778,NA,NA,NA,1.48713040351868,NA,NA,Extrapolated,Regular,Extrapolated,Market,0.699283182621002,NA,NA,0.301027619205348,0.281281709671021,0.281211584806442,0.235394878251882,0.28121680021286,0.280908005330333,0.353646397590637,0.29756098985672,0.283852219581604,NA,6.373956,5755.28564453125,6715.35888671875,17361.068359375,9171.6328125,16443.564453125,63254.02734375,NA,NA,NA,NA,NA,1.0,ZWE
