Statistic,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1966,1967,1967,1968,1968,1969,1969,1970,1970,1971,1971,1972,1972,1973,1973,1974,1974,1975,1975,1976,1976,1977,1977,1978,1978,1979,1979,1980,1980,1981,1981,1982,1982,1983,1983,1984,1984,1985,1985,1986,1986,1987,1987,1988,1988,1989,1989,1990,1990,1991,1991,1992,1992,1993,1993,1994,1994,1995,1995,1996,1996,1997,1997,1998,1998,1999,1999,2000,2000,2001,2001,2002,2002,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015
DTP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,2.0,,3.0,,4.0,,8.0,,14.0,,27.0,,40.0,,60.0,,62.0,,62.0,,53.0,,51.0,,46.0,,48.0,,56.0,,55.0,,46.0,,55.0,,62.0,,66.0,,60.0,,69.0,,74.0,,78.0,,78.0,,84.0,,86.0,,81.0,,90.0,,93.0,,92.0,,93.0,,94.0,,
HepB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,60.0,,78.0,,78.0,,72.0,,75.0,,93.0,,92.0,,93.0,,94.0,,
Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,,72.0,,75.0,,93.0,,92.0,,93.0,,94.0,,
MCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,2.0,,3.0,,6.0,,11.0,,22.0,,44.0,,61.0,,57.0,,57.0,,52.0,,49.0,,48.0,,51.0,,59.0,,58.0,,49.0,,51.0,,58.0,,58.0,,58.0,,65.0,,67.0,,69.0,,73.0,,79.0,,79.0,,82.0,,90.0,,87.0,,85.0,,85.0,,86.0,,
cwtfp,,,,,,,,,,,,,,,,,,,,,,,,,,0.7851775884628296,,0.8093781471252441,,0.7118555903434753,,0.6716689467430115,,0.8126384615898132,,0.9533867239952087,,1.0476264953613281,,1.1363931894302368,,1.0593456029891968,,0.9939071536064148,,1.053557276725769,,1.0854805707931519,,1.1434407234191895,,0.9912700057029724,,0.9472460746765137,,0.9090301394462585,,0.9438287019729614,,0.9407091736793518,,0.9386844635009766,,0.9226445555686951,,0.9582867622375488,,1.0156559944152832,,0.9499189257621765,,0.8836048245429993,,0.866195559501648,,0.8246045708656311,,0.6813183426856995,,0.6121799945831299,,0.6303101778030396,,0.7599218487739563,,0.7881523966789246,,0.7349520325660706,,0.6567785739898682,,0.6717659831047058,,0.6898210048675537,,0.7702869176864624,,0.8584404587745667,,0.766470193862915,,0.6907179951667786,,0.7355493307113647,,0.6873059868812561,,0.6144813299179077,,0.5525712966918945,,0.5526968836784363,,0.5303158164024353,
rgdpna,,,,,,,,,,,,,,,,,,,,,,,,,,28706.642578125,,29351.771484375,,27863.345703125,,28039.49609375,,31248.69921875,,36158.953125,,42184.921875,,44810.44921875,,42152.74609375,,40037.26953125,,40647.5625,,43670.75,,44570.82421875,,42338.31640625,,39679.02734375,,41827.17578125,,47775.37109375,,47617.19140625,,51870.06640625,,49032.74609375,,52715.5546875,,56183.109375,,58749.97265625,,59341.12890625,,62899.875,,66672.0390625,,70618.4375,,74896.109375,,81068.7890625,,84502.2109375,,91588.8046875,,101485.1796875,,107563.8515625,,115512.2421875,,121491.53125,,132472.203125,,141134.34375,,149275.453125,,152531.90625,,165622.8125,,176629.59375,,173154.0,,169319.15625,,174906.6875,,180328.796875,
rconna,,,,,,,,,,,,,,,,,,,,,,,,,,26308.654296875,,27749.755859375,,25486.193359375,,24738.3203125,,29446.634765625,,34046.45703125,,39724.01953125,,45109.05078125,,43760.05859375,,41867.6796875,,43956.19140625,,47284.5234375,,52227.60546875,,47311.0703125,,48131.6171875,,47235.87109375,,50842.171875,,52679.59375,,54157.3828125,,52978.3515625,,54402.359375,,59447.59765625,,59802.9296875,,56776.26953125,,60340.46484375,,60469.0234375,,61920.30078125,,67482.9453125,,67648.25,,78783.421875,,83503.3515625,,81514.40625,,84253.8828125,,87197.7421875,,92662.2734375,,114004.9375,,139001.6875,,132967.140625,,123883.8984375,,139865.8125,,145408.59375,,143880.125,,137833.40625,,142682.375,,145482.03125,
rdana,,,,,,,,,,,,,,,,,,,,,,,,,,21244.9140625,,21906.064453125,,20181.57421875,,20928.6796875,,25342.99609375,,30054.4765625,,34864.3671875,,37969.79296875,,35928.69921875,,34330.296875,,36073.28515625,,40858.22265625,,41904.578125,,37317.25390625,,34890.0625,,36407.55078125,,41272.53515625,,39735.6875,,43832.21875,,39821.90625,,44725.51171875,,49330.53125,,53341.25390625,,51041.3984375,,55562.73046875,,55752.69921875,,63807.9375,,70395.3203125,,81174.6640625,,84795.7890625,,89837.0234375,,93294.796875,,100978.3125,,109718.6640625,,119070.7578125,,145683.59375,,165929.28125,,161329.921875,,153823.21875,,170840.75,,179978.53125,,176447.28125,,162957.734375,,168984.953125,,171279.34375,
rkna,,,,,,,,,,,,,,,,,,,,,,,,,,27096.75390625,,26802.7890625,,26511.390625,,26594.431640625,,27027.12890625,,27880.232421875,,28846.81640625,,29331.990234375,,29466.77734375,,29536.357421875,,29715.0703125,,30547.564453125,,30699.294921875,,30569.232421875,,29788.205078125,,29494.384765625,,29773.67578125,,29549.775390625,,30014.1953125,,29766.51171875,,30315.484375,,31083.673828125,,32649.85546875,,34122.87890625,,36109.890625,,38009.09375,,43870.515625,,50605.6015625,,66053.9296875,,74216.203125,,80709.5,,89789.0859375,,106696.5234375,,129153.0078125,,157135.375,,190367.578125,,217258.75,,243323.953125,,269079.65625,,294620.3125,,323920.34375,,348512.34375,,361513.8125,,377259.28125,,392921.09375,
rtfpna,,,,,,,,,,,,,,,,,,,,,,,,,,1.110342264175415,,1.116143822669983,,1.0364131927490234,,1.0203330516815186,,1.1157914400100708,,1.2646785974502563,,1.425703763961792,,1.466977596282959,,1.3392592668533325,,1.242105484008789,,1.2353354692459106,,1.2521800994873047,,1.2112281322479248,,1.1101429462432861,,1.0189751386642456,,1.054627537727356,,1.1849617958068848,,1.1579651832580566,,1.2241559028625488,,1.1300556659698486,,1.1956194639205933,,1.2422000169754028,,1.256291151046753,,1.2174158096313477,,1.2061469554901123,,1.2013835906982422,,1.1857686042785645,,1.179160237312317,,1.1648844480514526,,1.1357307434082031,,1.161555290222168,,1.2118703126907349,,1.1836203336715698,,1.1681610345840454,,1.1107611656188965,,1.0949167013168335,,1.0817530155181885,,1.0692137479782104,,1.0451544523239136,,1.080024003982544,,1.0790151357650757,,1.0,,0.9446947574615479,,0.9409775733947754,,0.9329001307487488,
rwtfpna,,,,,,,,,,,,,,,,,,,,,,,,,,0.8063934445381165,,0.8174623250961304,,0.7366687655448914,,0.7473621964454651,,0.8880278468132019,,1.031551718711853,,1.1563023328781128,,1.2198318243026733,,1.1202058792114258,,1.045175313949585,,1.0758548974990845,,1.149669885635376,,1.117517352104187,,0.9602239727973938,,0.8792691826820374,,0.9008440375328064,,1.004567265510559,,0.9482656717300415,,1.0151516199111938,,0.9006441235542297,,0.995467483997345,,1.070333480834961,,1.1193435192108154,,1.0275980234146118,,1.045566439628601,,0.9858739376068115,,1.0514148473739624,,1.0876142978668213,,1.144635558128357,,1.1184051036834717,,1.118073582649231,,1.0932728052139282,,1.0904148817062378,,1.0888618230819702,,1.068310260772705,,1.181638240814209,,1.2480615377426147,,1.133988380432129,,1.0343302488327026,,1.093256950378418,,1.0789525508880615,,1.0,,0.892232358455658,,0.8921511769294739,,0.869546115398407,
labsh,,,,,,,,,,,,,,,,,,,,,,,,,,0.7421403527259827,,0.7421403527259827,,0.7421403527259827,,0.7421403527259827,,0.7421403527259827,,0.7421403527259827,,0.7421403527259827,,0.7421403527259827,,0.7421403527259827,,0.7421403527259827,,0.7421403527259827,,0.7421403527259827,,0.7421403527259827,,0.7421403527259827,,0.7421403527259827,,0.7421403527259827,,0.7421403527259827,,0.7421403527259827,,0.7421403527259827,,0.7421403527259827,,0.7421403527259827,,0.7421403527259827,,0.7421403527259827,,0.7421403527259827,,0.7421403527259827,,0.7421403527259827,,0.8158121109008789,,0.8655554056167603,,0.7908079624176025,,0.6866120100021362,,0.6368162631988525,,0.6411406993865967,,0.6898218393325806,,0.6598394513130188,,0.619084358215332,,0.6203558444976807,,0.5919227600097656,,0.5919227600097656,,0.5919227600097656,,0.5919227600097656,,0.5919227600097656,,0.5919227600097656,,0.5919227600097656,,0.5919227600097656,,0.5919227600097656,
delta,,,,,,,,,,,,,,,,,,,,,,,,,,0.039576925337314606,,0.03929480165243149,,0.039087969809770584,,0.03916010633111,,0.04086867719888687,,0.04437188431620598,,0.04730888456106186,,0.04775671288371086,,0.04709500074386597,,0.04599132761359215,,0.044716693460941315,,0.04459889233112335,,0.04253204166889191,,0.040751729160547256,,0.03811043128371239,,0.03626127913594246,,0.03537201136350632,,0.03414418548345566,,0.03384048491716385,,0.032440200448036194,,0.03238507732748985,,0.03257649764418602,,0.033225905150175095,,0.033826619386672974,,0.035448960959911346,,0.036556340754032135,,0.043140944093465805,,0.049641113728284836,,0.05367567017674446,,0.0527934730052948,,0.05523333325982094,,0.05797373503446579,,0.06274356693029404,,0.06680894643068314,,0.0677422508597374,,0.06780228763818741,,0.06771664321422577,,0.0684867650270462,,0.06938720494508743,,0.06728003919124603,,0.06814806908369064,,0.06637056916952133,,0.06476335227489471,,0.06249673292040825,,0.06042514368891716,
xr,,,,,,,,,,,,,,,,,,,,,,,,,,0.0003481999989999999,,0.0003481999989999999,,0.0003481999989999999,,0.0003481999989999999,,0.0003481999989999999,,0.0003481999989999999,,0.0003481999989999999,,0.000348206165666667,,0.000377451832333333,,0.000429166665666667,,0.000499999999,,0.000558858332333333,,0.000952299999166667,,0.0012999999999999997,,0.0012999999999999997,,0.00230402499991667,,0.0024999999999999996,,0.002999999999999999,,0.004499999999999999,,0.00720061389396747,,0.013107841972400404,,0.03260932929118059,,0.06296342372828279,,0.1593139166666666,,0.2896089166666666,,0.5808737499999999,,1.2507916666666665,,1.5757424999999998,,2.0080191666666662,,2.52550416666667,,2.571225,,2.58702104166667,,2.63305833333333,,2.60983433333333,,2.57905,,2.43605833333333,,2.17153333333333,,2.0161,,2.0901628287698415,,2.30153333333333,,2.30600092016667,,2.66661962177469,,3.5729583333333306,,4.75676054708821,,5.73686666666667,
