,0,1,2,3,4
140,Saint Kitts and Nevis,Samoa,Romania,,Republic of Moldova
141,Saint Lucia,San Marino,Russian Federation,,Romania
142,Saint Vincent and the Grenadines,Sao Tome and Principe,Rwanda,,Russian Federation
143,Samoa,Saudi Arabia,Saint Kitts and Nevis,,Rwanda
144,San Marino,Senegal,Saint Lucia,,Saint Kitts and Nevis
145,Sao Tome and Principe,Serbia,Saint Vincent and the Grenadines,,Saint Lucia
146,Saudi Arabia,Seychelles,Samoa,,Saint Vincent and the Grenadines
147,Senegal,Sierra Leone,San Marino,,Samoa
148,Serbia,Singapore,Sao Tome and Principe,,San Marino
149,Seychelles,Slovakia,Saudi Arabia,,Sao Tome and Principe
150,Sierra Leone,Solomon Islands,Senegal,,Saudi Arabia
151,Slovakia,Somalia,Serbia,,Senegal
152,Slovenia,South Africa,Seychelles,,Serbia
153,Solomon Islands,Spain,Sierra Leone,,Seychelles
154,Somalia,Sri Lanka,Singapore,,Sierra Leone
155,South Africa,Sudan,Slovakia,,Singapore
156,Spain,Suriname,Slovenia,,Slovakia
157,Sri Lanka,Swaziland,Solomon Islands,,Slovenia
158,Sudan,Sweden,Somalia,,Solomon Islands
159,Suriname,Syrian Arab Republic,South Africa,,Somalia
160,Swaziland,Tajikistan,South Sudan,,South Africa
161,Sweden,Thailand,Spain,,South Sudan
162,Switzerland,The former Yugoslav republic of Macedonia,Sri Lanka,,Spain
163,Syrian Arab Republic,Timor-Leste,Sudan,,Sri Lanka
164,Tajikistan,Togo,Suriname,,Sudan
165,The former Yugoslav republic of Macedonia,Tonga,Swaziland,,Suriname
166,Timor-Leste,Trinidad and Tobago,Sweden,,Swaziland
167,Togo,Tunisia,Switzerland,,Sweden
168,Tonga,Turkey,Syrian Arab Republic,,Switzerland
169,Trinidad and Tobago,Turkmenistan,Tajikistan,,Syrian Arab Republic
170,Tunisia,Tuvalu,Thailand,,Tajikistan
171,Turkey,Uganda,The former Yugoslav republic of Macedonia,,Thailand
172,Turkmenistan,Ukraine,Timor-Leste,,The former Yugoslav republic of Macedonia
173,Tuvalu,United Arab Emirates,Togo,,Timor-Leste
174,Uganda,United Republic of Tanzania,Tonga,,Togo
175,Ukraine,United States of America,Trinidad and Tobago,,Tonga
176,United Arab Emirates,Uruguay,Tunisia,,Trinidad and Tobago
177,United Kingdom of Great Britain and Northern Ireland,Uzbekistan,Turkey,,Tunisia
178,United Republic of Tanzania,Vanuatu,Turkmenistan,,Turkey
179,United States of America,Venezuela (Bolivarian Republic of),Tuvalu,,Turkmenistan
180,Uruguay,Viet Nam,Uganda,,Tuvalu
181,Uzbekistan,Yemen,Ukraine,,Uganda
182,Vanuatu,Zambia,United Arab Emirates,,Ukraine
183,Venezuela (Bolivarian Republic of),Zimbabwe,United Kingdom of Great Britain and Northern Ireland,,United Arab Emirates
184,Viet Nam,,United Republic of Tanzania,,United Kingdom of Great Britain and Northern Ireland
185,Yemen,,United States of America,,United Republic of Tanzania
186,Zambia,,Uruguay,,United States of America
187,Zimbabwe,,Uzbekistan,,Uruguay
188,,,Vanuatu,,Uzbekistan
189,,,Venezuela (Bolivarian Republic of),,Vanuatu
190,,,Viet Nam,,Venezuela (Bolivarian Republic of)
191,,,Yemen,,Viet Nam
192,,,Zambia,,Yemen
193,,,Zimbabwe,,Zambia
194,,,,,Zimbabwe
